sol-sniper-bot  | {"level":"info","mint":"F2BVaeDKBJmSRyqH6NKE2y64wXME9ydocf3iG9VQpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069883085,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"J1vN54p9iV9HMuMHC1AmoW53AMz4Jh3zTYT24MSWpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069896593,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"2raeQ5pLcqSKCnHrgb9SYTCftcuyJC55u16t4Z38pump","buy_sol":0.1,"tip_sol":0.001,"time":1776069970950,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"H6t7MwXEdaz8nAsP57mcGEShqRmUy3j4habEhwYZfPGA","buy_sol":0.1,"tip_sol":0.001,"time":1776069974203,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"37eJsvXgyTAosZDpzeJjawtpidpzATr183diB2dJxrNu","buy_sol":0.1,"tip_sol":0.001,"time":1776069976460,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"DqmJwHnhfHFNThTJ6HqMTSdLRdntQoqvEN47LqVspump","buy_sol":0.1,"tip_sol":0.001,"time":1776070014906,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"41FCvTB6fMfr9Zw6FnEK2uMDi6iaK829VNr7QReJpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070025230,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"G58L3NHeyJHUSJGVpq561mfhdgY17QeXwEA9n6zspump","buy_sol":0.1,"tip_sol":0.001,"time":1776070056474,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"FdcyhCiJLB7a9Kbx88wuwpJaAdbiXGrxtsWhj26vpump","buy_sol":0.1,"tip_sol":0.001,"time":1776070068605,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"FLjRFyNwC3jJyehpugCWe81nLo9xfms2gfZNSwKppump","buy_sol":0.1,"tip_sol":0.001,"time":1776070070625,"message":"executor: [SIM] bundle skipped — simulation mode"}
